date,gross_compound_yield_pct
1983-05-15,17.58
1983-05-31,17.34
1983-06-15,17.34
1983-06-30,17.34
1983-07-15,17.58
1983-07-31,17.34
1983-08-31,17.34
1983-09-30,17.06
1983-10-31,17.34
1983-11-30,17.58
1983-12-31,17.54
1984-01-31,16.81
1984-02-29,15.79
1984-03-31,15.66
1984-04-30,15.6
1984-05-31,14.95
1984-06-30,14.71
1984-07-31,14.71
1984-08-31,14.95
1984-09-15,15.6
1984-09-30,15.36
1984-10-15,15.42
1984-10-31,15.18
1984-11-30,14.95
1984-12-31,14.82
1985-01-31,13.93
1985-02-28,13.62
1985-03-31,13.54
1985-04-15,14.41
1985-04-30,14.41
1985-05-15,14.47
1985-05-31,14.47
1985-06-30,14.41
1985-07-15,14.41
1985-07-31,14.17
1985-08-15,14.01
1985-08-31,13.93
1985-09-15,13.93
1985-09-30,13.93
1985-10-15,13.39
1985-10-31,13.24
1985-11-15,13.31
1985-11-30,13.31
1985-12-31,13.23
1986-01-31,14.34
1986-02-28,14.17
1986-03-31,13.46
1986-04-30,12.99
1986-05-31,11.6
1986-06-30,11.24
1986-07-31,11.24
1986-08-31,10.92
1986-09-30,10.92
1986-10-31,10.79
1986-11-30,10.69
1986-12-31,10.81
1987-01-31,10.81
1987-02-28,10.69
1987-03-31,10.57
1987-04-30,10.23
1987-05-15,10.23
1987-05-31,10.33
1987-06-15,10.34
1987-06-30,10.34
1987-07-15,11.02
1987-07-31,11.24
1987-08-15,11.21
1987-08-31,11.14
1987-09-15,12.07
1987-09-30,12.07
1987-10-15,11.93
1987-10-31,11.88
1987-11-15,11.93
1987-11-30,11.93
1987-12-15,11.83
1987-12-31,11.6
1988-01-15,11.47
1988-01-31,11.33
1988-02-15,10.87
1988-02-29,10.69
1988-03-15,10.66
1988-03-31,10.7
1988-04-15,10.69
1988-04-30,10.64
1988-05-15,10.7
1988-05-31,10.7
1988-06-15,10.7
1988-06-30,10.52
1988-07-15,11.33
1988-07-31,11.52
1988-08-15,11.65
