date,gross_compound_yield_pct
1984-05-15,14.99
1984-05-31,14.99
1984-06-15,15.08
1984-06-30,14.83
1984-07-15,14.99
1984-07-31,14.99
1984-08-15,14.99
1984-08-31,14.99
1984-09-15,15.51
1984-09-30,15.38
1984-10-15,15.42
1984-10-31,15.29
1984-11-15,15.01
1984-11-30,14.89
1984-12-15,14.8
1984-12-31,14.68
1985-01-15,14.06
1985-01-31,13.7
1985-02-15,13.53
1985-02-28,13.45
1985-03-15,13.38
1985-03-31,13.38
1985-04-15,14.31
1985-04-30,14.31
1985-05-15,14.26
1985-05-31,14.22
1985-06-15,14.18
1985-06-30,14.18
1985-07-15,14.14
1985-07-31,14.06
1985-08-15,14.02
1985-08-31,13.98
1985-09-15,13.82
1985-09-30,13.82
1985-10-15,13.5
1985-10-31,13.31
1985-11-15,13.21
1985-11-30,13.16
1985-12-15,13.1
1985-12-31,13.1
1986-01-15,13.17
1986-01-31,13.78
1986-02-15,13.65
1986-02-28,13.58
1986-03-15,13.58
1986-03-31,13.15
1986-04-15,12.9
1986-04-30,12.3
1986-05-15,11.59
1986-05-31,11.19
1986-06-15,10.83
1986-06-30,10.77
1986-07-15,10.71
1986-07-31,10.71
1986-08-15,10.54
1986-08-31,10.37
1986-09-15,10.25
1986-09-30,10.66
1986-10-15,10.48
1986-10-31,10.37
1986-11-15,10.25
1986-11-30,10.25
1986-12-15,10.25
1986-12-31,10.25
1987-01-15,10.19
1987-01-31,10.19
1987-02-15,10.14
1987-02-28,9.96
1987-03-15,9.96
1987-03-31,9.91
1987-04-15,9.85
1987-04-30,9.85
1987-05-15,9.85
1987-05-31,9.85
1987-06-15,9.85
1987-06-30,9.85
1987-07-15,10.83
1987-07-31,10.77
1987-08-15,10.76
1987-08-31,10.95
1987-09-15,11.78
1987-09-30,11.78
1987-10-15,11.78
1987-10-31,12.01
1987-11-15,12.09
1987-11-30,12.06
1987-12-15,11.83
1987-12-31,11.64
1988-01-15,11.56
1988-01-31,11.33
1988-02-15,10.98
1988-02-29,10.73
1988-03-15,10.76
1988-03-31,10.78
1988-04-15,10.81
1988-04-30,10.81
1988-05-15,10.82
1988-05-31,10.83
1988-06-15,10.8
1988-06-30,10.61
1988-07-15,11.04
1988-07-31,11.06
1988-08-15,11.09
1988-08-31,11.09
1988-09-15,11.37
1988-09-30,11.42
1988-10-15,11.35
1988-10-31,11.31
1988-11-15,11.23
1988-11-30,11.23
1988-12-15,11.23
1988-12-31,11.47
1989-01-15,11.5
1989-01-31,11.47
1989-02-15,11.45
1989-02-28,11.52
1989-03-15,12.8
1989-03-31,13.04
1989-04-15,12.89
1989-04-30,12.67
1989-05-15,12.54
1989-05-31,12.18
1989-06-15,11.45
1989-06-30,10.72
1989-07-15,11.81
1989-07-31,12.66
1989-08-15,12.8
1989-08-31,13.0
1989-09-15,13.05
1989-09-30,12.97
1989-10-15,13.14
1989-10-31,13.34
1989-11-15,13.73
1989-11-30,13.73
1989-12-15,13.62
1989-12-31,13.31
1990-01-15,13.19
1990-01-31,12.92
1990-02-15,12.59
1990-02-28,12.65
1990-03-15,12.94
1990-03-31,13.04
1990-04-15,13.1
1990-04-30,12.97
1990-05-15,12.65
1990-05-31,11.64
1990-06-15,11.26
1990-06-30,11.28
1990-07-15,11.59
1990-07-31,11.57
1990-08-15,11.78
1990-08-31,12.18
1990-09-15,12.11
1990-09-30,11.94
1990-10-15,11.85
1990-10-31,11.78
1990-11-15,11.99
1990-11-30,12.37
1990-12-15,12.95
1990-12-31,13.62
1991-01-15,13.75
1991-01-31,12.93
1991-02-15,13.02
1991-02-28,13.3
1991-03-15,13.19
1991-03-31,12.49
1991-04-15,12.42
1991-04-30,12.3
1991-05-15,12.16
1991-05-31,11.68
1991-06-15,11.6
1991-06-30,11.83
1991-07-15,12.23
1991-07-31,12.39
1991-08-15,12.75
1991-08-31,12.97
1991-09-15,12.78
1991-09-30,12.32
1991-10-15,12.25
1991-10-31,11.99
1991-11-15,12.06
1991-11-30,12.42
1991-12-15,12.75
1991-12-31,13.43
1992-01-15,12.87
1992-01-31,11.94
1992-02-15,11.99
1992-02-29,12.25
1992-03-15,12.59
1992-03-31,12.9
1992-04-15,13.35
1992-04-30,13.47
1992-05-15,13.22
1992-05-31,13.2
1992-06-15,13.67
1992-06-30,13.91
1992-07-15,14.97
1992-07-31,15.45
1992-08-15,14.77
