date,gross_compound_yield_pct
1988-01-15,11.05
1988-01-31,10.56
1988-02-15,10.5
1988-02-29,10.5
1988-03-15,10.56
1988-03-31,10.56
1988-04-15,10.96
1988-04-30,10.96
1988-05-15,10.96
1988-05-31,10.99
1988-06-15,10.99
1988-06-30,10.93
1988-07-15,11.33
1988-07-31,11.42
1988-08-15,11.42
1988-08-31,11.45
1988-09-15,11.92
1988-09-30,11.89
1988-10-15,11.73
1988-10-31,11.73
1988-11-15,11.54
1988-11-30,11.48
1988-12-15,11.54
1988-12-31,11.51
1989-01-15,11.51
1989-01-31,11.42
1989-02-15,11.42
1989-02-28,11.54
1989-03-15,12.74
1989-03-31,12.93
1989-04-15,12.76
1989-04-30,12.54
1989-05-15,12.61
1989-05-31,12.36
1989-06-15,11.67
1989-06-30,11.36
1989-07-15,12.23
1989-07-31,12.93
1989-08-15,12.87
1989-08-31,12.8
1989-09-15,13.03
1989-09-30,13.03
1989-10-15,13.22
1989-10-31,13.16
1989-11-15,13.38
1989-11-30,13.44
1989-12-15,13.35
1989-12-31,12.99
1990-01-15,12.99
1990-01-31,12.87
1990-02-15,12.68
1990-02-28,12.8
1990-03-15,12.97
1990-03-31,13.16
1990-04-15,13.13
1990-04-30,13.12
1990-05-15,12.87
1990-05-31,12.04
1990-06-15,11.7
1990-06-30,11.79
1990-07-15,11.95
1990-07-31,11.89
1990-08-15,12.04
1990-08-31,12.46
1990-09-15,12.36
1990-09-30,12.29
1990-10-15,12.36
1990-10-31,12.36
1990-11-15,12.39
1990-11-30,12.52
1990-12-15,12.86
1990-12-31,13.06
1991-01-15,13.12
1991-01-31,12.93
1991-02-15,13.12
1991-02-28,13.19
1991-03-15,13.27
1991-03-31,12.38
1991-04-15,12.26
1991-04-30,12.07
1991-05-15,12.14
1991-05-31,11.67
1991-06-15,11.67
1991-06-30,11.95
1991-07-15,11.89
1991-07-31,12.07
1991-08-15,12.2
1991-08-31,12.29
1991-09-15,12.42
1991-09-30,12.45
1991-10-15,12.26
1991-10-31,12.01
1991-11-15,12.13
1991-11-30,12.54
1991-12-15,12.55
1991-12-31,12.93
1992-01-15,12.64
1992-01-31,11.98
1992-02-15,11.95
1992-02-29,12.14
1992-03-15,12.39
1992-03-31,12.71
1992-04-15,13.06
1992-04-30,13.06
1992-05-15,13.03
1992-05-31,12.99
1992-06-15,13.44
1992-06-30,13.64
1992-07-15,14.22
1992-07-31,14.81
1992-08-15,14.08
1992-08-31,14.79
1992-09-15,16.41
1992-09-30,17.23
1992-10-15,17.79
1992-10-31,15.32
1992-11-15,15.52
1992-11-30,15.34
1992-12-15,15.14
1992-12-31,13.83
1993-01-15,13.03
1993-01-31,12.42
1993-02-15,11.79
1993-02-28,12.04
1993-03-15,12.11
1993-03-31,12.8
1993-04-15,12.87
1993-04-30,12.33
1993-05-15,11.98
1993-05-31,11.48
1993-06-15,11.05
1993-06-30,10.31
1993-07-15,9.95
1993-07-31,10.53
1993-08-15,10.01
1993-08-31,10.04
1993-09-15,9.65
1993-09-30,9.29
1993-10-15,9.08
1993-10-31,9.12
1993-11-15,9.35
1993-11-30,9.71
1993-12-15,8.64
1993-12-31,8.52
1994-01-15,8.77
1994-01-31,8.66
1994-02-15,8.67
1994-02-28,8.87
1994-03-15,8.87
1994-03-31,9.05
1994-04-15,8.66
1994-04-30,8.78
1994-05-15,8.42
1994-05-31,8.01
1994-06-15,8.52
1994-06-30,9.35
1994-07-15,9.38
1994-07-31,9.36
1994-08-15,9.64
1994-08-31,10.77
1994-09-15,10.62
1994-09-30,10.16
1994-10-15,10.62
1994-10-31,10.71
1994-11-15,10.38
1994-11-30,10.19
1994-12-15,10.13
1994-12-31,10.53
1995-01-15,10.59
1995-01-31,10.53
1995-02-15,10.13
1995-02-28,10.84
1995-03-15,11.82
1995-03-31,12.17
1995-04-15,11.42
1995-04-30,11.95
1995-05-15,10.41
1995-05-31,10.93
1995-06-15,11.05
1995-06-30,11.2
1995-07-15,10.99
1995-07-31,11.08
1995-08-15,10.77
1995-08-31,10.53
1995-09-15,10.44
1995-09-30,10.87
1995-10-15,10.8
1995-10-31,11.3
1995-11-15,10.71
1995-11-30,10.56
1995-12-15,10.2
1995-12-31,10.38
1996-01-15,9.68
1996-01-31,9.38
1996-02-15,9.23
1996-02-29,9.77
1996-03-15,9.5
1996-03-31,9.68
1996-04-15,9.41
1996-04-30,8.68
1996-05-15,8.7
1996-05-31,8.42
1996-06-15,8.53
1996-06-30,8.06
1996-07-15,8.34
1996-07-31,8.34
1996-08-15,8.52
1996-08-31,8.54
1996-09-15,8.19
1996-09-30,7.93
1996-10-15,7.53
1996-10-31,7.18
1996-11-15,6.97
1996-11-30,6.63
1996-12-15,6.68
1996-12-31,6.55
1997-01-15,6.5
1997-01-31,6.57
1997-02-15,6.52
1997-02-28,6.74
1997-03-15,6.86
1997-03-31,7.41
1997-04-15,6.55
1997-04-30,6.86
1997-05-15,6.55
1997-05-31,6.4
1997-06-15,6.68
1997-06-30,6.33
1997-07-15,6.33
1997-07-31,6.38
1997-08-15,6.5
1997-08-31,6.4
1997-09-15,6.16
1997-09-30,5.54
1997-10-15,6.04
1997-10-31,5.79
1997-11-15,5.79
1997-11-30,5.5
1997-12-15,5.29
1997-12-31,4.93
1998-01-15,5.09
1998-01-31,5.25
1998-02-15,5.3
1998-02-28,5.22
