date,close
1985-01-01,203.3000030517578
1985-04-01,215.39999389648438
1985-07-01,221.6999969482422
1985-10-01,256.5
1986-01-01,309.6000061035156
1986-04-01,328.0
1986-07-01,343.3999938964844
1986-10-01,356.79998779296875
1987-01-01,435.3999938964844
1987-04-01,459.20001220703125
1987-07-01,485.3999938964844
1987-10-01,408.0
1988-01-01,453.20001220703125
1988-04-01,446.79998779296875
1988-07-01,446.20001220703125
1988-10-01,494.3999938964844
1989-01-01,503.3999938964844
1989-04-01,494.29998779296875
1989-07-01,549.4000244140625
1989-10-01,567.2999877929688
1990-01-01,483.79998779296875
1990-04-01,520.4000244140625
1990-07-01,423.1000061035156
1990-10-01,461.5
1991-01-01,504.29998779296875
1991-04-01,484.8999938964844
1991-07-01,516.4000244140625
1991-10-01,535.4000244140625
1992-01-01,489.20001220703125
1992-04-01,495.3999938964844
1992-07-01,501.0
1992-10-01,497.1000061035156
1993-01-01,537.2000122070312
1993-04-01,567.2999877929688
1993-07-01,591.4000244140625
1993-10-01,598.5
1994-01-01,599.7000122070312
1994-04-01,615.2000122070312
1994-07-01,627.2000122070312
1994-10-01,618.7000122070312
1995-01-01,637.2000122070312
1995-04-01,667.7000122070312
1995-07-01,699.7000122070312
1995-10-01,732.7999877929688
1996-01-01,760.4000244140625
1996-04-01,778.0999755859375
1996-07-01,785.7000122070312
1996-10-01,824.0999755859375
1997-01-01,835.4000244140625
1997-04-01,942.2000122070312
1997-07-01,964.2000122070312
1997-10-01,937.7000122070312
1998-01-01,1061.4000244140625
1998-04-01,1083.0999755859375
1998-07-01,979.2999877929688
1998-10-01,1148.199951171875
1999-01-01,1188.199951171875
1999-04-01,1234.199951171875
1999-07-01,1205.5999755859375
1999-10-01,1419.0999755859375
2000-01-01,1419.5
2000-04-01,1366.199951171875
2000-07-01,1312.4000244140625
2000-10-01,1228.5
2001-01-01,1055.199951171875
2001-04-01,1086.5999755859375
2001-07-01,925.7000122070312
2001-10-01,1003.0999755859375
2002-01-01,1003.5999755859375
2002-04-01,909.2999877929688
2002-07-01,737.7999877929688
2002-10-01,792.4000244140625
2003-01-01,766.5999755859375
2003-04-01,872.0999755859375
2003-07-01,910.0999755859375
2003-10-01,1035.300048828125
2004-01-01,1052.699951171875
2004-04-01,1063.5999755859375
2004-07-01,1040.5999755859375
2004-10-01,1165.800048828125
2005-01-01,1150.4000244140625
2005-04-01,1148.5999755859375
2005-07-01,1222.9000244140625
2005-10-01,1259.699951171875
2006-01-01,1336.0999755859375
2006-04-01,1319.9000244140625
2006-07-01,1373.5999755859375
2006-10-01,1484.300048828125
2007-01-01,1514.199951171875
2007-04-01,1602.4000244140625
2007-07-01,1633.5999755859375
2007-10-01,1587.0999755859375
2008-01-01,1437.4000244140625
2008-04-01,1402.0999755859375
2008-07-01,1182.4000244140625
2008-10-01,920.2000122070312
2009-01-01,805.2000122070312
2009-04-01,964.0
2009-07-01,1127.0
2009-10-01,1168.5
2010-01-01,1200.5
2010-04-01,1041.300048828125
2010-07-01,1179.199951171875
2010-10-01,1280.0999755859375
2011-01-01,1334.9000244140625
2011-04-01,1331.199951171875
2011-07-01,1104.0999755859375
2011-10-01,1182.5999755859375
2012-01-01,1312.0
2012-04-01,1235.699951171875
2012-07-01,1311.5
2012-10-01,1338.5
2013-01-01,1434.5
2013-04-01,1433.5999755859375
2013-07-01,1543.699951171875
2013-10-01,1661.0999755859375
2014-01-01,1673.9000244140625
2014-04-01,1743.4000244140625
2014-07-01,1698.4000244140625
2014-10-01,1709.699951171875
2015-01-01,1740.800048828125
2015-04-01,1735.5999755859375
2015-07-01,1581.9000244140625
2015-10-01,1662.800048828125
2016-01-01,1648.0999755859375
2016-04-01,1653.199951171875
2016-07-01,1725.699951171875
2016-10-01,1751.199951171875
2017-01-01,1853.699951171875
2017-04-01,1916.4000244140625
2017-07-01,2000.5999755859375
2017-10-01,2103.5
2018-01-01,2066.89990234375
2018-04-01,2089.300048828125
2018-07-01,2184.0
2018-10-01,1883.9000244140625
2019-01-01,2107.699951171875
2019-04-01,2178.39990234375
2019-07-01,2180.0
2019-10-01,2358.5
2020-01-01,1852.699951171875
2020-04-01,2201.800048828125
2020-07-01,2367.300048828125
2020-10-01,2690.0
2021-01-01,2811.699951171875
2021-04-01,3017.199951171875
2021-07-01,3006.60009765625
2021-10-01,3231.699951171875
2022-01-01,3053.10009765625
2022-04-01,2546.199951171875
2022-07-01,2378.699951171875
2022-10-01,2602.699951171875
2023-01-01,2791.39990234375
2023-04-01,2966.699951171875
2023-07-01,2853.199951171875
2023-10-01,3169.199951171875
2024-01-01,3436.800048828125
2024-04-01,3511.800048828125
2024-07-01,3723.0
2024-10-01,3707.800048828125
2025-01-01,3628.60009765625
2025-04-01,4026.39990234375
2025-07-01,4306.7001953125
2025-10-01,4430.39990234375
2026-01-01,4258.2998046875
2026-04-01,4825.5
2026-07-01,4914.0
2026-09-22,4980.93994140625
