date,gross_compound_yield_pct
1980-01-01,13.368066900300434
1980-02-01,15.853611489829312
1980-03-01,16.106631223191425
1980-04-01,16.36047693897005
1980-05-01,15.98001833237781
1980-06-01,16.36047693897005
1980-07-01,16.487710661645337
1980-08-01,16.36047693897005
1980-09-01,16.233450609306345
1980-10-01,17.127005986962107
1980-11-01,17.127005986962107
1980-12-01,17.127005986962107
1981-01-01,17.127005986962107
1981-02-01,17.127005986962107
1981-03-01,19.47237901057173
1981-04-01,19.340248341703713
1981-05-01,20.136320326190436
1981-06-01,20.67144803367995
1981-07-01,20.80578606685375
1981-08-01,21.075132908665537
1981-09-01,21.075132908665537
1981-11-01,21.61652359084425
1982-01-15,21.21014270786685
1982-01-31,21.075132908665537
1982-02-28,20.537332934226725
1982-03-15,20.537332934226725
1982-03-31,20.136320326190436
1982-04-15,20.403440276617445
1982-04-30,20.136320326190436
1982-05-15,20.537332934226725
1982-05-31,20.537332934226725
1982-06-15,20.403440276617445
1982-06-30,19.604728234641698
1982-07-15,19.737296495082536
1982-07-31,19.737296495082536
1982-08-15,19.47237901057173
1982-08-31,19.47237901057173
1982-09-15,18.291013670958645
1982-09-30,17.771554262725054
1982-10-15,17.901099324624823
1982-10-31,18.291013670958645
1982-11-15,19.208335748187654
1982-11-30,19.208335748187654
1982-12-31,19.340248341703713
1983-01-15,19.208335748187654
1983-01-31,19.208335748187654
1983-02-15,19.208335748187654
1983-02-28,19.208335748187654
1983-03-15,19.340248341703713
1983-03-31,19.340248341703713
1983-04-15,19.07664075148785
1983-04-30,18.552027207898814
1983-05-15,18.552027207898814
1983-05-31,18.03085726933402
1983-06-15,17.901099324624823
1983-06-30,17.642221619276288
1983-07-15,17.771554262725054
1983-07-31,17.771554262725054
1983-08-15,17.771554262725054
1983-08-31,17.642221619276288
1983-09-15,17.38419173661161
1983-09-30,17.38419173661161
1983-10-15,17.38419173661161
1983-10-31,17.38419173661161
1983-11-15,17.255493574980598
1983-11-30,17.255493574980598
1983-12-31,17.255493574980598
1984-01-15,16.797056729474647
1984-01-31,16.54437593914877
1984-02-15,16.29251349815728
1984-02-29,15.791229569572973
1984-03-15,15.606842270260458
1984-03-31,15.606842270260458
1984-04-15,15.450627117754824
1984-04-30,15.450627117754824
1984-05-15,14.99250153898175
1984-05-31,14.99250153898175
1984-06-15,15.080316894916379
1984-06-30,14.834433246312773
1984-07-15,14.99250153898175
1984-07-31,14.99250153898175
1984-08-15,14.99250153898175
1984-08-31,14.99250153898175
1984-09-15,15.508856422064365
1984-09-30,15.383859818231382
1984-10-15,15.417388685467559
1984-10-31,15.293176943685305
1984-11-15,15.010081652764562
1984-11-30,14.885891365456239
1984-12-15,14.798327920410625
1984-12-31,14.675113009644614
1985-01-15,14.062001274228342
1985-01-31,13.696489318908833
1985-02-15,13.53293677078764
1985-02-28,13.453788996675154
1985-03-15,13.375560501132533
1985-03-31,13.375560501132533
1985-04-15,14.30665509577076
1985-04-30,14.30665509577076
